,obs_M,obs_phi,obs_sigma_lower,obs_sigma_upper,z
0,27554724.9343,0.0256923553427,0.00620271073006,0.00740580990948,3.8
1,87135691.0919,0.0223771060437,0.00540233520491,0.00712166478781,3.8
2,275547249.343,0.0102283108904,0.00228861405373,0.00264836960924,3.8
3,871356910.919,0.00602287597279,0.0013476358651,0.00155947564144,3.8
4,2755472493.43,0.00147844073485,0.000382457476948,0.000470523726421,3.8
5,8713569109.19,0.000323447590298,0.000132987528911,0.000189182293683,3.8
6,27554724934.3,7.58235161423e-05,4.95327089649e-05,6.21526012847e-05,3.8
7,27554724.9343,0.0125835714666,0.00464387462994,0.00646243467215,5.0
8,87135691.0919,0.010959832579,0.004044645719,0.00562854530192,5.0
9,275547249.343,0.00512629883982,0.00181648231459,0.00211479073638,5.0
10,871356910.919,0.00294987708315,0.000955515407735,0.0014133108546,5.0
11,2755472493.43,0.000707626225413,0.000271307431637,0.000339029660283,5.0
12,8713569109.19,0.000154811750006,7.1672917801e-05,0.000102111803421,5.0
13,27554724934.3,3.16085024268e-05,2.03933825521e-05,3.59692774676e-05,5.0
14,27554724.9343,0.0165883778809,0.00704276275259,0.01158272956,5.9
15,87135691.0919,0.0141189994065,0.00580511618602,0.00985850171471,5.9
16,275547249.343,0.00575180190054,0.00220526959697,0.00336418977601,5.9
17,871356910.919,0.00316085024268,0.00125624962881,0.00173472714308,5.9
18,2755472493.43,0.000616316677633,0.000253402512319,0.000383231933323,5.9
19,8713569109.19,0.000122971344097,6.27425843689e-05,0.000111345721515,5.9
20,27554724934.3,2.18677409232e-05,1.75045529855e-05,3.0589315868e-05,5.9
21,27554724.9343,0.0144478731507,0.00856209457289,0.0226888790658,6.8
22,87135691.0919,0.0120172174562,0.00700760742423,0.0161538899846,6.8
23,275547249.343,0.0040719639081,0.0022944871939,0.00483652246415,6.8
24,871356910.919,0.00199436167542,0.00108276250776,0.00236882626234,6.8
25,2755472493.43,0.000323447590298,0.000185471472871,0.000417528031682,6.8
26,8713569109.19,6.02287597279e-05,4.54443523794e-05,8.76153137568e-05,6.8
