ID,RA,Dec,Zspec,Zphot,J_Ks,logM,Redshift_determination,Type,L_IR,L_IR error
128484, 150.22348, 2.30719, 2.495, 2.55, 0.70, 10.82, Halpha , SF,,
129305, 150.23940, 2.31750, 2.512, 2.65, 0.71, 10.19, Halpha , SF,,
129444, 150.24875, 2.31921, 2.510, 2.57, 1.59, 10.77, Halpha , SF,,
131661, 150.23584, 2.34488, 2.501, 2.64, 1.57, 11.03, Halpha , SF,,
131864, 150.23454, 2.34770, 2.511, 2.64, 0.53, 10.38, Halpha, SF,,
132636, 150.22505, 2.35620, 2.510, 2.55, 0.49, 10.68, Halpha, SF,,
130359, 150.22899, 2.32978, 2.507, 2.47, 1.93, 11.26, Halpha CO(1-0), SF,,
130842, 150.23746, 2.33612, 2.515, 3.04, 1.77, 11.12, CO(1-0), SF,,
130891, 150.23987, 2.33645, 2.513, 2.68, 2.09, 11.06, CO(1-0) CO(5-4), SF,12.6,0.15
130901, 150.23923, 2.33637, 2.508, 2.20, 1.74, 11.58, CO(1-0), SF (radio AGN),12.1,0.15
130933, 150.23869, 2.33683, 2.504, 2.28, 2.23, 11.29, CO(1-0), SF,12.2,0.15
130949, 150.23701, 2.33571, 2.503, 2.49, 1.66, 11.57, CO(1-0) CO(3-2) CO(5-4), SF,12.5,0.15
131077, 150.23735, 2.33814, 2.494, 2.82, 1.39, 11.16, CO(1-0) CO(3-2) CO(5-4), SF,12.8,0.1
131079, 150.23695, 2.33748, 2.502, 2.57, 1.46, 11.36, CO(1-0), SF,,
132044, 150.23650, 2.34881, 2.504, 2.35, 1.47, 11.13, CO(1-0), SF,,
132627, 150.23421, 2.35659, 2.506, 2.36, 1.34, 10.90, CO(1-0), SF,,
..., 150.23419   , 2.33647, 2.504, ... , 0.7 , 11.0 , CO(1-0), SF ,,

