#OK
#SQL= select Type, stellarMass
#	from Henriques2020a..MR   
#	where snapnum=19 and StellarMass > 0.01
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2020-01-31 15:33:05.317 CET
#QUERYTIME 88 millisec
#COLUMN 1 name=Type JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
Type,stellarMass
0,0.010000009
0,0.010000014
0,0.010000014
0,0.0100000175
0,0.010000025
0,0.010000042
0,0.010000046
0,0.010000048
0,0.010000053
0,0.010000054
0,0.0100000575
0,0.0100000575
0,0.010000065
0,0.010000074
0,0.010000075
0,0.010000083
0,0.010000083
0,0.010000085
0,0.010000085
0,0.010000092
0,0.010000101
0,0.010000102
0,0.01000011
0,0.010000119
0,0.010000125
0,0.010000127
0,0.010000128
0,0.010000128
0,0.010000134
0,0.010000139
0,0.010000142
0,0.0100001525
0,0.010000158
0,0.010000158
0,0.010000165
0,0.010000169
0,0.010000177
2,0.01000018
0,0.010000185
1,0.010000191
0,0.010000191
0,0.0100001935
0,0.010000201
0,0.010000205
0,0.010000209
0,0.010000216
0,0.010000218
0,0.010000221
0,0.010000225
0,0.010000226
0,0.010000227
0,0.010000231
0,0.010000232
0,0.010000236
0,0.010000238
0,0.010000259
0,0.010000266
0,0.0100002745
0,0.010000279
0,0.010000281
0,0.010000283
0,0.010000286
0,0.010000301
0,0.010000311
0,0.010000313
0,0.010000321
0,0.01000033
0,0.010000332
0,0.010000335
0,0.010000338
0,0.010000341
0,0.010000342
0,0.01000035
2,0.010000359
0,0.01000036
0,0.010000372
1,0.010000372
2,0.010000373
0,0.010000374
2,0.010000376
0,0.010000379
0,0.010000386
0,0.01000039
0,0.010000401
0,0.010000406
0,0.010000411
0,0.010000418
0,0.0100004235
0,0.010000432
1,0.010000436
0,0.010000452
0,0.010000471
2,0.010000475
0,0.010000476
0,0.010000485
1,0.010000486
0,0.010000489
0,0.010000492
0,0.010000497
0,0.010000497
0,0.010000505
0,0.010000509
0,0.010000517
0,0.010000532
0,0.010000533
0,0.010000534
0,0.010000536
0,0.010000537
0,0.010000548
0,0.010000549
0,0.010000552
0,0.01000056
0,0.010000566
0,0.010000569
0,0.010000575
0,0.010000577
0,0.010000586
0,0.010000588
0,0.010000591
0,0.010000594
0,0.010000596
0,0.010000597
0,0.010000598
0,0.0100006
0,0.0100006005
0,0.0100006005
0,0.010000602
0,0.010000615
0,0.010000617
0,0.010000624
0,0.010000629
0,0.010000633
0,0.010000636
0,0.010000639
0,0.010000642
0,0.010000645
0,0.010000647
0,0.01000065
2,0.010000655
0,0.010000657
0,0.010000657
0,0.010000667
0,0.010000675
0,0.010000685
0,0.010000687
2,0.010000689
0,0.010000702
1,0.0100007085
0,0.010000711
2,0.010000713
0,0.010000724
0,0.010000726
0,0.010000738
0,0.010000747
0,0.010000749
0,0.010000764
0,0.010000774
0,0.010000777
0,0.01000078
0,0.010000791
0,0.010000796
0,0.010000798
1,0.0100008
0,0.010000814
0,0.010000819
0,0.01000083
0,0.0100008305
2,0.010000836
0,0.010000849
0,0.010000849
0,0.010000853
0,0.010000854
2,0.010000864
2,0.010000866
0,0.010000872
0,0.01000088
0,0.010000887
1,0.010000893
0,0.010000898
0,0.010000905
0,0.010000912
2,0.010000914
0,0.010000918
0,0.010000925
0,0.010000928
0,0.010000931
